starting
501747,-955,-115,-73,536
501753,-957,-122,-74,543
501761,-945,-124,-69,542
501767,-931,-128,-74,548
501774,-905,-127,-65,551
501780,-895,-132,-59,560
501787,-895,-132,-64,559
501793,-877,-130,-56,564
501800,-847,-124,-58,567
501808,-822,-123,-59,572
501814,-785,-126,-53,577
501821,-749,-114,-45,584
501828,-730,-113,-46,588
501834,-715,-115,-34,588
501841,-688,-109,-36,590
501849,-685,-127,-36,595
501856,-662,-115,-27,602
501862,-640,-113,-26,601
501869,-615,-109,-26,599
501876,-574,-93,-21,605
501883,-549,-84,-17,606
501890,-541,-75,-15,612
501897,-516,-54,-1,609
501904,-487,-45,-12,615
501911,-458,-42,6,617
501918,-437,-37,0,625
501924,-430,-32,0,618
501932,-436,-37,0,621
501939,-426,-26,10,622
501946,-424,-30,3,623
501952,-438,-39,3,620
501959,-477,-46,0,618
501966,-488,-56,-11,622
501974,-489,-62,-10,616
501981,-498,-60,-8,621
501987,-520,-70,-13,619
501994,-533,-71,-16,617
502001,-543,-72,-27,616
502008,-543,-73,-21,618
502016,-553,-81,-30,613
502022,-582,-86,-29,611
502029,-601,-91,-29,608
502036,-612,-99,-20,605
502043,-634,-105,-26,602
502050,-645,-114,-25,599
502056,-679,-122,-33,596
502064,-718,-133,-36,592
502071,-740,-132,-41,594
502077,-757,-132,-43,586
502084,-765,-137,-42,585
502091,-783,-139,-44,578
502097,-785,-122,-46,579
502105,-796,-114,-55,569
502112,-790,-103,-54,571
502118,-784,-89,-59,571
502125,-797,-81,-55,564
502131,-817,-75,-51,560
502138,-835,-68,-56,551
502145,-852,-63,-60,547
502151,-866,-58,-57,542
502158,-885,-50,-69,500
502164,-933,-58,-80,538
502170,-971,-66,-89,534
502177,-995,-71,-86,529
502183,-1027,-85,-86,529
502190,-1049,-86,-92,519
502197,-1065,-90,-96,519
502203,-1085,-100,-87,511
502209,-1105,-103,-100,507
502215,-1116,-112,-100,501
502222,-1136,-121,-90,499
502228,-1163,-124,-89,495
502235,-1200,-140,-95,487
502241,-1228,-161,-94,478
502247,-1247,-166,-101,476
502254,-1289,-172,-110,476
502260,-1321,-186,-108,469
502266,-1347,-183,-124,469
502273,-1377,-189,-126,465
502279,-1398,-190,-135,463
502285,-1407,-192,-138,456
502291,-1423,-186,-132,461
502297,-1429,-180,-143,463
502303,-1420,-165,-132,452
502309,-1417,-150,-142,458
502316,-1423,-137,-154,452
502322,-1407,-123,-148,455
502328,-1412,-108,-142,457
502334,-1412,-90,-151,456
502340,-1407,-87,-141,452
502346,-1409,-91,-152,455
502352,-1419,-90,-142,454
502359,-1431,-93,-152,421
502365,-1436,-97,-144,452
502371,-1442,-108,-143,451
502377,-1438,-118,-149,450
502383,-1433,-114,-134,450
502389,-1424,-122,-130,445
502395,-1425,-129,-136,441
502402,-1420,-141,-122,442
502408,-1412,-150,-112,443
502414,-1407,-159,-121,444
502420,-1396,-149,-119,441
502426,-1402,-161,-114,441
502432,-1409,-168,-110,456
502438,-1416,-167,-123,444
502445,-1427,-172,-117,459
502451,-1438,-173,-136,461
502457,-1437,-178,-129,449
502463,-1439,-180,-144,460
502469,-1444,-180,-143,463
502475,-1441,-175,-152,461
502481,-1425,-162,-151,476
502489,-1396,-154,-148,471
502495,-1370,-137,-146,470
502501,-1335,-125,-138,477
502507,-1315,-116,-140,480
502513,-1281,-105,-133,487
502519,-1250,-96,-131,482
502526,-1215,-88,-120,493
502533,-1176,-77,-118,495
502539,-1157,-72,-113,491
502545,-1135,-76,-102,482
502551,-1109,-80,-94,486
502558,-1080,-82,-88,504
502564,-1062,-89,-83,486
502571,-1035,-96,-69,511
502577,-1021,-102,-60,506
502584,-999,-109,-60,519
502590,-967,-110,-64,519
502596,-943,-114,-53,515
502603,-929,-120,-47,528
502609,-904,-111,-50,502
502616,-886,-117,-38,545
502622,-876,-114,-52,480
502629,-862,-115,-51,547
502635,-862,-112,-46,557
502642,-859,-116,-57,531
502648,-853,-115,-61,565
502656,-839,-113,-56,559
502662,-827,-108,-62,568
502669,-818,-111,-61,571
502676,-797,-109,-68,584
502682,-791,-96,-70,579
502689,-767,-99,-63,583
502696,-750,-93,-69,587
502703,-724,-80,-61,590
502710,-691,-79,-60,597
502717,-666,-55,-59,597
502723,-634,-47,-49,604
502730,-613,-48,-43,601
502737,-587,-48,-46,604
502745,-577,-52,-50,608
502751,-559,-39,-31,610
502758,-540,-43,-23,607
502765,-524,-48,-25,613
502772,-497,-58,-16,610
502779,-484,-50,-10,613
502786,-482,-57,-1,622
502793,-467,-54,7,622
502800,-460,-65,10,620
502807,-451,-64,3,621
502814,-453,-59,8,622
502820,-456,-60,0,622
502828,-454,-57,5,621
502835,-454,-56,10,620
502842,-471,-56,6,624
502848,-493,-69,-6,619
502855,-506,-71,-8,619
502862,-519,-73,-4,613
502870,-543,-76,-15,617
502877,-558,-76,-23,610
502883,-595,-85,-27,612
502890,-622,-78,-36,601
502897,-639,-88,-45,606
502904,-663,-82,-51,600
502910,-684,-85,-59,602
502918,-718,-93,-54,589
502925,-741,-87,-65,595
502931,-752,-84,-71,579
502938,-766,-86,-69,588
502944,-783,-77,-83,572
502951,-794,-77,-76,572
502959,-812,-80,-66,565
502965,-816,-78,-74,574
502972,-817,-84,-70,566
502978,-828,-89,-74,566
502985,-835,-80,-68,559
502991,-849,-83,-58,559
502999,-858,-83,-59,554
503005,-865,-87,-47,542
503011,-869,-80,-48,542
503018,-890,-81,-55,533
503024,-901,-86,-64,513
503030,-922,-79,-49,525
503037,-932,-85,-52,521
503044,-951,-86,-56,517
503050,-972,-91,-55,513
503056,-1012,-87,-70,501
503062,-1038,-104,-73,508
503069,-1076,-97,-79,476
503075,-1104,-111,-95,496
503081,-1153,-111,-97,480
503088,-1208,-125,-109,487
503094,-1253,-135,-120,478
503100,-1285,-139,-136,464
503107,-1321,-136,-142,480
503113,-1360,-146,-141,472
503119,-1379,-157,-149,481
503126,-1406,-151,-159,474
503132,-1418,-150,-156,462
503138,-1425,-147,-157,454
503144,-1431,-147,-155,470
503150,-1430,-150,-157,458
503156,-1415,-138,-142,466
503162,-1408,-146,-147,451
503170,-1400,-133,-138,453
503176,-1392,-132,-130,451
503182,-1379,-128,-122,454
503188,-1367,-126,-119,448
503194,-1359,-125,-118,447
503200,-1361,-126,-99,446
503206,-1353,-115,-102,450
503212,-1348,-109,-103,444
503218,-1349,-110,-104,443
503224,-1344,-110,-110,442
503230,-1356,-108,-114,442
503236,-1365,-107,-112,441
503242,-1384,-108,-124,445
503248,-1400,-122,-126,440
503255,-1411,-123,-130,444
503261,-1443,-121,-140,449
503267,-1450,-131,-145,450
503273,-1469,-138,-155,451
503279,-1480,-143,-160,447
503285,-1498,-155,-174,452
503291,-1507,-157,-173,458
503298,-1514,-159,-169,456
503305,-1503,-162,-164,462
503311,-1493,-165,-167,451
503317,-1478,-165,-161,457
503323,-1450,-162,-152,439
503328,-1421,-154,-148,446
503335,-1392,-152,-141,460
503342,-1362,-149,-132,455
503348,-1333,-141,-134,470
503354,-1295,-135,-109,447
503360,-1256,-128,-105,466
503366,-1232,-118,-97,453
503372,-1204,-120,-88,478
503378,-1161,-112,-77,464
503385,-1134,-106,-80,476
503391,-1124,-102,-83,501
503398,-1098,-95,-71,502
503404,-1081,-92,-71,461
503410,-1068,-93,-76,481
503416,-1058,-92,-73,488
503422,-1039,-90,-74,507
503429,-1035,-81,-75,508
503436,-1024,-87,-93,519
503442,-1017,-84,-90,507
503448,-1007,-91,-93,519
503455,-1005,-94,-89,527
503461,-1001,-96,-91,527
503468,-993,-96,-94,535
503475,-977,-107,-88,545
503481,-960,-110,-89,543
503488,-941,-110,-87,551
503494,-927,-111,-89,555
503501,-911,-114,-84,564
503507,-882,-110,-78,563
503515,-861,-116,-77,566
503521,-821,-109,-62,572
503528,-794,-107,-52,580
503535,-766,-103,-47,579
503541,-738,-108,-46,583
503548,-704,-96,-40,590
503556,-686,-94,-41,599
503563,-653,-88,-36,594
503569,-632,-84,-21,598
503576,-615,-82,-30,600
503583,-587,-80,-8,604
503589,-567,-68,-17,610
503597,-554,-63,-17,607
503604,-544,-60,-12,614
503611,-532,-60,-7,612
